,id,title,description,link,categories_id,categories_title,geometries_coordinates,geometries_date,geometries_type,sources_id,sources_url
2,EONET_3626,"Wildfire - W of Colorado Springs, Colorado - United States",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3626,8,Wildfires,"[-105.311673464, 38.796925179]",2018-06-30T19:00:00Z,Point,PDC,http://emops.pdc.org/emops/?hazard_id=82680
10,EONET_3629,"County Fire, California",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3629,8,Wildfires,"[-122.18183, 38.80583]",2018-06-30T14:12:00Z,Point,CALFIRE,http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2101
11,EONET_3632,Chateau Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3632,8,Wildfires,"[-105.306, 38.815]",2018-06-29T00:00:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5878/
12,EONET_3614,"Wildfire - NW of Trinidad, Colorado - United States",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3614,8,Wildfires,"[-105.243904304, 37.497518363]",2018-06-28T19:00:00Z,Point,PDC,http://emops.pdc.org/emops/?hazard_id=82609
43,EONET_3627,Weston Pass Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3627,8,Wildfires,"[-106.069, 39.055]",2018-06-28T11:30:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5876/
44,EONET_3624,Sugarloaf Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3624,8,Wildfires,"[-105.994, 39.813]",2018-06-28T00:00:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5872/
45,EONET_3625,"Wildfire MB-NE104, Manitoba, Canada",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3625,8,Wildfires,"[-96.19, 53.4506]",2018-06-28T00:00:00Z,Point,MBFIRE,http://www.gov.mb.ca/sd/fire/Fire-Statistic/2018/MBFIRE18.txt
63,EONET_3615,Emigrant Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3615,8,Wildfires,"[-116.105, 40.677]",2018-06-27T15:49:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5871/
64,EONET_3623,Spring Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3623,8,Wildfires,"[-105.291, 37.496]",2018-06-27T15:30:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5875/
65,EONET_3622,West Valley Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3622,8,Wildfires,"[-113.423, 37.397]",2018-06-27T15:00:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5873/
66,EONET_3599,"Wildfire - E of Ukiah, California - United States",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3599,8,Wildfires,"[-122.580114759, 39.093743688]",2018-06-24T19:00:00Z,Point,PDC,http://emops.pdc.org/emops/?hazard_id=82454
67,EONET_3616,Sardinas Canyon Fire,,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3616,8,Wildfires,"[-105.454, 36.197]",2018-06-24T14:09:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5868/
68,EONET_3600,"Creek Fire, California",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3600,8,Wildfires,"[-122.42308, 40.50318]",2018-06-24T12:29:00Z,Point,CALFIRE,http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2082
69,EONET_3600,"Creek Fire, California",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3600,8,Wildfires,"[-122.42308, 40.50318]",2018-06-24T12:29:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5867/
70,EONET_3600,"Creek Fire, California",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3600,8,Wildfires,"[-122.42308, 40.50318]",2018-06-24T12:29:00Z,Point,PDC,http://emops.pdc.org/emops/?hazard_id=82453
71,EONET_3611,"Saddleworth Moor Fire, England",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3611,8,Wildfires,"[-1.978912353515625, 53.50805964216864]",2018-06-24T00:00:00Z,Point,CEMS,http://emergency.copernicus.eu/mapping/list-of-components/EMSR291
72,EONET_3611,"Saddleworth Moor Fire, England",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3611,8,Wildfires,"[-1.978912353515625, 53.50805964216864]",2018-06-24T00:00:00Z,Point,PDC,http://emops.pdc.org/emops/?hazard_id=82560
74,EONET_3628,"Wildfire MB-EA079, Manitoba, Canada",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3628,8,Wildfires,"[-96.5333, 52.6861]",2018-06-24T00:00:00Z,Point,MBFIRE,http://www.gov.mb.ca/sd/fire/Fire-Statistic/2018/MBFIRE18.txt
75,EONET_3596,"Pawnee Fire, California",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3596,8,Wildfires,"[-122.59848, 39.0674]",2018-06-23T17:21:00Z,Point,CALFIRE,http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2080
76,EONET_3596,"Pawnee Fire, California",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3596,8,Wildfires,"[-122.59848, 39.0674]",2018-06-23T17:21:00Z,Point,EO,https://earthobservatory.nasa.gov/NaturalHazards/view.php?id=92343
77,EONET_3596,"Pawnee Fire, California",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3596,8,Wildfires,"[-122.59848, 39.0674]",2018-06-23T17:21:00Z,Point,InciWeb,http://inciweb.nwcg.gov/incident/5866/
78,EONET_3596,"Pawnee Fire, California",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3596,8,Wildfires,"[-122.59848, 39.0674]",2018-06-23T17:21:00Z,Point,PDC,http://emops.pdc.org/emops/?hazard_id=82454
79,EONET_3595,"Lane Fire, California",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3595,8,Wildfires,"[-121.77867, 40.35068]",2018-06-23T11:35:00Z,Point,CALFIRE,http://www.fire.ca.gov/current_incidents/incidentdetails/Index/2077
80,EONET_3595,"Lane Fire, California",,https://eonet.sci.gsfc.nasa.gov/api/v2.1/events/EONET_3595,8,Wildfires,"[-121.77867, 40.35068]",2018-06-23T11:35:00Z,Point,PDC,http://emops.pdc.org/emops/?hazard_id=82512
